Threshold,#Total_,Default Rate_,Revenue_,#Total_x,Default Rate_x,Revenue_x,#Total_y,Default Rate_y,Revenue_y,#Total,Default Rate,Revenue
0.1,172995,0.009988727997919016,2370.5818973801547,36684,0.019436266492203685,495.79290145998715,46549,0.013040022342048164,629.3394949551468,256228,0.01189565543188098,3495.7142937952885
0.2,191455,0.020887414797210832,2528.3406283578784,40481,0.034090066944986536,527.1870205859465,52125,0.026455635491606715,676.6210657383778,284061,0.023790664681177635,3732.148714682203
0.30000000000000004,204573,0.033367062124522784,2614.34130834774,43201,0.050322909191916856,542.9719913228581,56268,0.04245752470320609,705.1576406827727,304042,0.03745864058255109,3862.4709403533707
0.4,216506,0.048867005995214916,2676.874763446929,45593,0.067663895773474,554.8237300624875,60104,0.06142686010914415,726.0745706925964,322203,0.053869765334276835,3957.773064202013
0.5,228384,0.06890149922936809,2724.7756438350966,47995,0.08690488592561725,564.4203926930713,63954,0.08490477530725209,741.9992902356496,340333,0.07444767330820108,4031.1953267638187
0.6000000000000001,240891,0.0937602484111071,2763.6141489594756,50440,0.11060666137985725,571.3428823208961,68082,0.11356893158250345,754.7739094900355,359413,0.09987674346782115,4089.7309407704083
0.7000000000000001,254848,0.12530998869914617,2791.0028692425876,53052,0.1366583729171379,577.1750825316271,72316,0.14451850212954256,764.1442762542017,380216,0.13054684705535802,4132.322228028415
0.8,271002,0.16492867211312093,2809.460401913107,56007,0.1678183084257325,582.0049445700953,77042,0.18174502219568547,770.9112229008316,404051,0.16853565515244362,4162.376569384034
0.9,290154,0.21341770232359367,2818.4592409413153,59264,0.20381681965442763,585.5432222218017,82638,0.22778866865122582,774.7337688828985,432056,0.21484946395837576,4178.736232046014
1.0,308200,0.25830953926022066,2819.650544155183,61963,0.23431725384503654,586.9741281450509,88750,0.27828732394366196,775.6834075087179,458913,0.2589336105100531,4182.308079808952
