,#Total,Default Rate,Revenue,#Total_1,Default Rate_1,Revenue_1,#Total_2,Default Rate_2,Revenue_2,#Total_,Default Rate_,Revenue_
Conservative,228384,0.06890149922936809,2724.7756438350966,47995,0.08690488592561725,564.4203926930713,63954,0.08490477530725209,741.9992902356496,349608,0.08636816091164962,4061.554504312412
Aggressive,216506,0.048867005995214916,2676.874763446929,45593,0.067663895773474,554.8237300624875,60104,0.06142686010914415,726.0745706925964,322203,0.053869765334276835,3957.773064202013
